_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,sentiment,sentiment:confidence,date,id,query,sentiment_gold,text,tokens,stemmed_tokens,lemmatized_tokens
623495541,True,golden,16,,5,0.5724,Tue Dec 02 00:15:16 +0000 2014,5.4e+17,#AAPL OR @Apple,"5
3",Latest Apple Products Leading in Efficiency http://t.co/KHeNlVT1FJ @apple #iPhone #iPad #plugloads,"['latest', 'apple', 'products', 'leading', 'efficiency', 'apple', 'iphone', 'ipad', 'plugloads']","['latest', 'appl', 'product', 'lead', 'effici', 'appl', 'iphon', 'ipad', 'plugload']","['latest', 'apple', 'product', 'leading', 'efficiency', 'apple', 'iphone', 'ipad', 'plugloads']"
623495542,False,finalized,3,12/12/2014 8:42,3,1.0,Tue Dec 02 00:15:26 +0000 2014,5.4e+17,#AAPL OR @Apple,,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,"['rt', 'thehill', 'justice', 'department', 'cites', '18th', 'century', 'federal', 'law', 'get', 'apple', 'unlock', 'iphones']","['rt', 'thehil', 'justic', 'depart', 'cite', '18th', 'centuri', 'feder', 'law', 'get', 'appl', 'unlock', 'iphon']","['rt', 'thehill', 'justice', 'department', 'cite', '18th', 'century', 'federal', 'law', 'get', 'apple', 'unlock', 'iphones']"
623495543,False,finalized,4,12/12/2014 18:31,3,0.7179,Tue Dec 02 00:16:03 +0000 2014,5.4e+17,#AAPL OR @Apple,,Good be huge RT @thehill Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/QmLBuvG6Xz,"['good', 'huge', 'rt', 'thehill', 'justice', 'department', 'cites', '18th', 'century', 'federal', 'law', 'get', 'apple', 'unlock', 'iphones']","['good', 'huge', 'rt', 'thehil', 'justic', 'depart', 'cite', '18th', 'centuri', 'feder', 'law', 'get', 'appl', 'unlock', 'iphon']","['good', 'huge', 'rt', 'thehill', 'justice', 'department', 'cite', '18th', 'century', 'federal', 'law', 'get', 'apple', 'unlock', 'iphones']"
623495544,False,finalized,3,12/12/2014 2:33,3,1.0,Tue Dec 02 00:16:04 +0000 2014,5.4e+17,#AAPL OR @Apple,,@thehill @Apple i cite the 4th amendment as a retort,"['thehill', 'apple', 'cite', '4th', 'amendment', 'retort']","['thehil', 'appl', 'cite', '4th', 'amend', 'retort']","['thehill', 'apple', 'cite', '4th', 'amendment', 'retort']"
623495545,False,finalized,3,12/12/2014 0:01,3,0.6604,Tue Dec 02 00:16:27 +0000 2014,5.4e+17,#AAPL OR @Apple,,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,"['rt', 'thehill', 'justice', 'department', 'cites', '18th', 'century', 'federal', 'law', 'get', 'apple', 'unlock', 'iphones']","['rt', 'thehil', 'justic', 'depart', 'cite', '18th', 'centuri', 'feder', 'law', 'get', 'appl', 'unlock', 'iphon']","['rt', 'thehill', 'justice', 'department', 'cite', '18th', 'century', 'federal', 'law', 'get', 'apple', 'unlock', 'iphones']"
623495546,False,finalized,4,12/11/2014 23:40,5,1.0,Tue Dec 02 00:17:02 +0000 2014,5.4e+17,#AAPL OR @Apple,,RT @saxonidubom: @rwang0 @Apple Thanks...thinking of upgrading.,"['rt', 'saxonidubom', 'rwang0', 'apple', 'thanks', 'thinking', 'upgrading']","['rt', 'saxonidubom', 'rwang0', 'appl', 'thank', 'think', 'upgrad']","['rt', 'saxonidubom', 'rwang0', 'apple', 'thanks', 'thinking', 'upgrading']"
623495547,False,finalized,3,12/12/2014 9:10,3,0.6515,Tue Dec 02 00:18:59 +0000 2014,5.4e+17,#AAPL OR @Apple,,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,"['rt', 'thehill', 'justice', 'department', 'cites', '18th', 'century', 'federal', 'law', 'get', 'apple', 'unlock', 'iphones']","['rt', 'thehil', 'justic', 'depart', 'cite', '18th', 'centuri', 'feder', 'law', 'get', 'appl', 'unlock', 'iphon']","['rt', 'thehill', 'justice', 'department', 'cite', '18th', 'century', 'federal', 'law', 'get', 'apple', 'unlock', 'iphones']"
623495548,False,finalized,3,12/12/2014 21:02,3,1.0,Tue Dec 02 00:22:26 +0000 2014,5.4e+17,#AAPL OR @Apple,,Way to stay relevant RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/mptcggWZO1,"['way', 'stay', 'relevant', 'rt', 'thehill', 'justice', 'department', 'cites', '18th', 'century', 'federal', 'law', 'get', 'apple', 'unlock', 'iphones']","['way', 'stay', 'relev', 'rt', 'thehil', 'justic', 'depart', 'cite', '18th', 'centuri', 'feder', 'law', 'get', 'appl', 'unlock', 'iphon']","['way', 'stay', 'relevant', 'rt', 'thehill', 'justice', 'department', 'cite', '18th', 'century', 'federal', 'law', 'get', 'apple', 'unlock', 'iphones']"
623495549,False,finalized,6,12/11/2014 9:47,3,1.0,Tue Dec 02 00:22:31 +0000 2014,5.4e+17,#AAPL OR @Apple,,Apple Inc. Flash Crash: What You Need to Know http://t.co/Ko9PT6yuMV #AAPL,"['apple', 'inc', 'flash', 'crash', 'need', 'know', 'aapl']","['appl', 'inc', 'flash', 'crash', 'need', 'know', 'aapl']","['apple', 'inc', 'flash', 'crash', 'need', 'know', 'aapl']"
623495550,True,golden,9,,3,1.0,Tue Dec 02 00:23:47 +0000 2014,5.4e+17,#AAPL OR @Apple,3,"http://t.co/hpC7p1rHvA
need help on using your #Apple #iPhone6 &amp; #iPhone6Plus ? #checkitout
@applenws @apple http://t.co/K3fQHPazMc","['need', 'help', 'using', 'apple', 'iphone6', 'amp', 'iphone6plus', 'checkitout', 'applenws', 'apple']","['need', 'help', 'use', 'appl', 'iphone6', 'amp', 'iphone6plu', 'checkitout', 'applenw', 'appl']","['need', 'help', 'using', 'apple', 'iphone6', 'amp', 'iphone6plus', 'checkitout', 'applenws', 'apple']"
623495551,False,finalized,3,12/11/2014 14:07,3,1.0,Tue Dec 02 00:24:26 +0000 2014,5.4e+17,#AAPL OR @Apple,,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,"['rt', 'thehill', 'justice', 'department', 'cites', '18th', 'century', 'federal', 'law', 'get', 'apple', 'unlock', 'iphones']","['rt', 'thehil', 'justic', 'depart', 'cite', '18th', 'centuri', 'feder', 'law', 'get', 'appl', 'unlock', 'iphon']","['rt', 'thehill', 'justice', 'department', 'cite', '18th', 'century', 'federal', 'law', 'get', 'apple', 'unlock', 'iphones']"
623495552,False,finalized,6,12/12/2014 9:26,1,0.4673,Tue Dec 02 00:24:47 +0000 2014,5.4e+17,#AAPL OR @Apple,,That flash crash really screwed with a lot of traders today. Not me. Im more determined than ever to make trading work for me #AAPL,"['flash', 'crash', 'really', 'screwed', 'lot', 'traders', 'today', 'im', 'determined', 'ever', 'make', 'trading', 'work', 'aapl']","['flash', 'crash', 'realli', 'screw', 'lot', 'trader', 'today', 'im', 'determin', 'ever', 'make', 'trade', 'work', 'aapl']","['flash', 'crash', 'really', 'screwed', 'lot', 'trader', 'today', 'im', 'determined', 'ever', 'make', 'trading', 'work', 'aapl']"
623495553,False,finalized,3,12/12/2014 14:51,3,1.0,Tue Dec 02 00:25:38 +0000 2014,5.4e+17,#AAPL OR @Apple,,RT @tra_hall: The JH Hines Staff with their newly issued @Apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH #txed,"['rt', 'tra', 'hall', 'jh', 'hines', 'staff', 'newly', 'issued', 'apple', 'connected', 'macbook', 'ipad', 'mini', 'txed', 'txed']","['rt', 'tra', 'hall', 'jh', 'hine', 'staff', 'newli', 'issu', 'appl', 'connect', 'macbook', 'ipad', 'mini', 'txed', 'txed']","['rt', 'tra', 'hall', 'jh', 'hines', 'staff', 'newly', 'issued', 'apple', 'connected', 'macbook', 'ipad', 'mini', 'txed', 'txed']"
623495554,True,golden,11,,1,0.7453,Tue Dec 02 00:27:23 +0000 2014,5.4e+17,#AAPL OR @Apple,1,Nigga update yall headphones @Apple,"['nigga', 'update', 'yall', 'headphones', 'apple']","['nigga', 'updat', 'yall', 'headphon', 'appl']","['nigga', 'update', 'yall', 'headphone', 'apple']"
623495555,False,finalized,3,12/12/2014 3:33,3,1.0,Tue Dec 02 00:27:36 +0000 2014,5.4e+17,#AAPL OR @Apple,,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,"['rt', 'thehill', 'justice', 'department', 'cites', '18th', 'century', 'federal', 'law', 'get', 'apple', 'unlock', 'iphones']","['rt', 'thehil', 'justic', 'depart', 'cite', '18th', 'centuri', 'feder', 'law', 'get', 'appl', 'unlock', 'iphon']","['rt', 'thehill', 'justice', 'department', 'cite', '18th', 'century', 'federal', 'law', 'get', 'apple', 'unlock', 'iphones']"
623495556,False,finalized,3,12/11/2014 22:17,1,0.665,Tue Dec 02 00:28:38 +0000 2014,5.4e+17,#AAPL OR @Apple,,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,"['rt', 'thehill', 'justice', 'department', 'cites', '18th', 'century', 'federal', 'law', 'get', 'apple', 'unlock', 'iphones']","['rt', 'thehil', 'justic', 'depart', 'cite', '18th', 'centuri', 'feder', 'law', 'get', 'appl', 'unlock', 'iphon']","['rt', 'thehill', 'justice', 'department', 'cite', '18th', 'century', 'federal', 'law', 'get', 'apple', 'unlock', 'iphones']"
623495557,True,golden,10,,1,1.0,Tue Dec 02 00:29:58 +0000 2014,5.4e+17,#AAPL OR @Apple,1,"Ok, @apple. You win. I won't use your browser anymore since it keeps closing on me. Literally 8 times today. I counted.","['ok', 'apple', 'win', 'use', 'browser', 'anymore', 'since', 'keeps', 'closing', 'literally', '8', 'times', 'today', 'counted']","['ok', 'appl', 'win', 'use', 'browser', 'anymor', 'sinc', 'keep', 'close', 'liter', '8', 'time', 'today', 'count']","['ok', 'apple', 'win', 'use', 'browser', 'anymore', 'since', 'keep', 'closing', 'literally', '8', 'time', 'today', 'counted']"
623495558,False,finalized,3,12/11/2014 21:20,3,1.0,Tue Dec 02 00:31:26 +0000 2014,5.4e+17,#AAPL OR @Apple,,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,"['rt', 'thehill', 'justice', 'department', 'cites', '18th', 'century', 'federal', 'law', 'get', 'apple', 'unlock', 'iphones']","['rt', 'thehil', 'justic', 'depart', 'cite', '18th', 'centuri', 'feder', 'law', 'get', 'appl', 'unlock', 'iphon']","['rt', 'thehill', 'justice', 'department', 'cite', '18th', 'century', 'federal', 'law', 'get', 'apple', 'unlock', 'iphones']"
623495559,False,finalized,6,12/11/2014 20:50,1,0.501,Tue Dec 02 00:32:42 +0000 2014,5.4e+17,#AAPL OR @Apple,,@thehill @Apple I cite the us constitution where judges cannot pass laws! Violation of the separation of powers,"['thehill', 'apple', 'cite', 'us', 'constitution', 'judges', 'pass', 'laws', 'violation', 'separation', 'powers']","['thehil', 'appl', 'cite', 'us', 'constitut', 'judg', 'pass', 'law', 'violat', 'separ', 'power']","['thehill', 'apple', 'cite', 'u', 'constitution', 'judge', 'pas', 'law', 'violation', 'separation', 'power']"
623495560,True,golden,16,,1,1.0,Tue Dec 02 00:34:51 +0000 2014,5.4e+17,#AAPL OR @Apple,1,@apple U need to get ur fucking shit together and let me txt while on YouTube,"['apple', 'u', 'need', 'get', 'ur', 'fucking', 'shit', 'together', 'let', 'txt', 'youtube']","['appl', 'u', 'need', 'get', 'ur', 'fuck', 'shit', 'togeth', 'let', 'txt', 'youtub']","['apple', 'u', 'need', 'get', 'ur', 'fucking', 'shit', 'together', 'let', 'txt', 'youtube']"
623495561,False,finalized,3,12/11/2014 21:21,1,0.6672,Tue Dec 02 00:38:41 +0000 2014,5.4e+17,#AAPL OR @Apple,,@thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure,"['thehill', 'apple', 'wish', 'could', 'prosecute', 'admin', 'violation', 'privacy', 'criminal', 'search', 'seizure']","['thehil', 'appl', 'wish', 'could', 'prosecut', 'admin', 'violat', 'privaci', 'crimin', 'search', 'seizur']","['thehill', 'apple', 'wish', 'could', 'prosecute', 'admin', 'violation', 'privacy', 'criminal', 'search', 'seizure']"
