_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,sentiment,sentiment:confidence,date,id,query,sentiment_gold,text
623495529,TRUE,golden,16,,1,0.9399,Mon Dec 01 21:35:14 +0000 2014,5.40E+17,#AAPL OR @Apple,1,warning if you buy an iphone 5s unlocked from apple iphone you can not use it on verizon network
623495530,FALSE,finalized,3,12/12/2014 3:38,not_relevant,0.6904,Mon Dec 01 21:52:04 +0000 2014,5.40E+17,#AAPL OR @Apple,,apple john cantlie has been a prisoner of isis for 739 days show you have not abandoned him sign
623495531,FALSE,finalized,3,12/12/2014 4:59,3,0.6621,Mon Dec 01 21:53:12 +0000 2014,5.40E+17,#AAPL OR @Apple,,apple thanks for xtra checkin at upper westside store but why are appointments running almost 50 minutes late
623495532,FALSE,finalized,3,12/12/2014 20:59,3,1,Mon Dec 01 22:22:09 +0000 2014,5.40E+17,#AAPL OR @Apple,,why aapl stock had a mini flash crash today money morning nothing the analysts suggested would make a widel
623495533,FALSE,finalized,3,12/11/2014 20:31,not_relevant,1,Mon Dec 01 23:03:01 +0000 2014,5.40E+17,#AAPL OR @Apple,,aapl dip only momentarily just an aberration in the equity world aapl
623495534,FALSE,finalized,4,12/12/2014 8:36,3,0.7244,Mon Dec 01 23:12:40 +0000 2014,5.40E+17,#AAPL OR @Apple,,the jh hines staff with their newly issued apple connected macbook and ipad mini txed
623495535,FALSE,finalized,3,12/12/2014 14:08,3,0.6552,Mon Dec 01 23:43:14 +0000 2014,5.40E+17,#AAPL OR @Apple,,robconeybeer you need an ip portfolio to defend against big companies just look at samsung apple court battles
623495536,TRUE,golden,13,,1,1,Mon Dec 01 23:55:55 +0000 2014,5.40E+17,#AAPL OR @Apple,1,apple for the love of gawd center the 1 on the damn calendar app you fixed it once its back off center again
623495537,TRUE,golden,9,,1,0.8928,Tue Dec 02 00:06:05 +0000 2014,5.40E+17,#AAPL OR @Apple,1,i get the storage almost full notification literally every 5 minutes chill apple
623495538,TRUE,golden,13,,1,0.8558,Tue Dec 02 00:14:25 +0000 2014,5.40E+17,#AAPL OR @Apple,1,i had to do made the switch from iphone 6 to the galaxy note edge apple keep up
623495539,TRUE,golden,14,,1,0.8701,Tue Dec 02 00:15:11 +0000 2014,5.40E+17,#AAPL OR @Apple,1,me rt 101baemations can t stand those ppl with apple stickers everywhere 9 10 they prob just bought an ipod shuffle
623495540,FALSE,finalized,4,12/12/2014 8:36,3,0.7244,Tue Dec 02 00:15:14 +0000 2014,5.40E+17,#AAPL OR @Apple,,justice department cites 18th century federal law to get apple to unlock iphones
623495541,TRUE,golden,16,,5,0.5724,Tue Dec 02 00:15:16 +0000 2014,5.40E+17,#AAPL OR @Apple,"5
3",latest apple products leading in efficiency apple iphone ipad plugloads
623495542,FALSE,finalized,3,12/12/2014 8:42,3,1,Tue Dec 02 00:15:26 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt thehill justice department cites 18th century federal law to get apple to unlock iphones
623495543,FALSE,finalized,4,12/12/2014 18:31,3,0.7179,Tue Dec 02 00:16:03 +0000 2014,5.40E+17,#AAPL OR @Apple,,good be huge rt thehill justice department cites 18th century federal law to get apple to unlock iphones
623495544,FALSE,finalized,3,12/12/2014 2:33,3,1,Tue Dec 02 00:16:04 +0000 2014,5.40E+17,#AAPL OR @Apple,,thehill apple i cite the 4th amendment as a retort
623495545,FALSE,finalized,3,12/12/2014 0:01,3,0.6604,Tue Dec 02 00:16:27 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt thehill justice department cites 18th century federal law to get apple to unlock iphones
623495546,FALSE,finalized,4,12/11/2014 23:40,5,1,Tue Dec 02 00:17:02 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt saxonidubom rwang0 apple thanks thinking of upgrading
623495547,FALSE,finalized,3,12/12/2014 9:10,3,0.6515,Tue Dec 02 00:18:59 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt thehill justice department cites 18th century federal law to get apple to unlock iphones
623495548,FALSE,finalized,3,12/12/2014 21:02,3,1,Tue Dec 02 00:22:26 +0000 2014,5.40E+17,#AAPL OR @Apple,,way to stay relevant rt thehill justice department cites 18th century federal law to get apple to unlock iphones
623495549,FALSE,finalized,6,12/11/2014 9:47,3,1,Tue Dec 02 00:22:31 +0000 2014,5.40E+17,#AAPL OR @Apple,,apple inc flash crash what you need to know aapl
623495550,TRUE,golden,9,,3,1,Tue Dec 02 00:23:47 +0000 2014,5.40E+17,#AAPL OR @Apple,3,need help on using your apple iphone6 amp iphone6plus checkitout applenws apple
623495551,FALSE,finalized,3,12/11/2014 14:07,3,1,Tue Dec 02 00:24:26 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt thehill justice department cites 18th century federal law to get apple to unlock iphones
623495552,FALSE,finalized,6,12/12/2014 9:26,1,0.4673,Tue Dec 02 00:24:47 +0000 2014,5.40E+17,#AAPL OR @Apple,,that flash crash really screwed with a lot of traders today not me im more determined than ever to make trading work for me aapl
623495553,FALSE,finalized,3,12/12/2014 14:51,3,1,Tue Dec 02 00:25:38 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt tra hall the jh hines staff with their newly issued apple connected macbook and ipad mini txed txed
623495554,TRUE,golden,11,,1,0.7453,Tue Dec 02 00:27:23 +0000 2014,5.40E+17,#AAPL OR @Apple,1,nigga update yall headphones apple
623495555,FALSE,finalized,3,12/12/2014 3:33,3,1,Tue Dec 02 00:27:36 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt thehill justice department cites 18th century federal law to get apple to unlock iphones
623495556,FALSE,finalized,3,12/11/2014 22:17,1,0.665,Tue Dec 02 00:28:38 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt thehill justice department cites 18th century federal law to get apple to unlock iphones
623495557,TRUE,golden,10,,1,1,Tue Dec 02 00:29:58 +0000 2014,5.40E+17,#AAPL OR @Apple,1,ok apple you win i won t use your browser anymore since it keeps closing on me literally 8 times today i counted
623495558,FALSE,finalized,3,12/11/2014 21:20,3,1,Tue Dec 02 00:31:26 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt thehill justice department cites 18th century federal law to get apple to unlock iphones
623495559,FALSE,finalized,6,12/11/2014 20:50,1,0.501,Tue Dec 02 00:32:42 +0000 2014,5.40E+17,#AAPL OR @Apple,,thehill apple i cite the us constitution where judges can not pass laws violation of the separation of powers
623495560,TRUE,golden,16,,1,1,Tue Dec 02 00:34:51 +0000 2014,5.40E+17,#AAPL OR @Apple,1,apple u need to get ur fucking shit together and let me txt while on youtube
623495561,FALSE,finalized,3,12/11/2014 21:21,1,0.6672,Tue Dec 02 00:38:41 +0000 2014,5.40E+17,#AAPL OR @Apple,,thehill apple wish we could prosecute the admin for violation of privacy and criminal search and seizure
623495562,FALSE,finalized,3,12/12/2014 20:51,3,1,Tue Dec 02 00:39:47 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt thehill justice department cites 18th century federal law to get apple to unlock iphones
623495563,FALSE,finalized,3,12/12/2014 1:20,3,0.6868,Tue Dec 02 00:39:51 +0000 2014,5.40E+17,#AAPL OR @Apple,,thehill apple furthermore there are no provisions for secrecy in the constitution as such such activities are sedition by the us gov
623495564,FALSE,finalized,3,12/12/2014 3:38,1,0.6656,Tue Dec 02 00:45:03 +0000 2014,5.40E+17,#AAPL OR @Apple,,aapl here s why apple dropped
623495565,FALSE,finalized,4,12/12/2014 2:08,3,0.7408,Tue Dec 02 00:45:22 +0000 2014,5.40E+17,#AAPL OR @Apple,,this one chart explains tim cook s affect on apple paints an interesting story what do you think
623495566,FALSE,finalized,3,12/12/2014 2:28,3,1,Tue Dec 02 00:47:23 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt thehill justice department cites 18th century federal law to get apple to unlock iphones
623495567,FALSE,finalized,3,12/12/2014 21:02,3,1,Tue Dec 02 00:47:46 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt thehill justice department cites 18th century federal law to get apple to unlock iphones
623495568,FALSE,finalized,4,12/12/2014 22:25,3,0.732,Tue Dec 02 00:51:10 +0000 2014,5.40E+17,#AAPL OR @Apple,,final aapl putcallratios for monday december 1 2014
623495569,FALSE,finalized,3,12/12/2014 17:48,3,0.7177,Tue Dec 02 00:53:22 +0000 2014,5.40E+17,#AAPL OR @Apple,,aapl launches red apple logo for world aids day dec 1 is world aids day and the red apple logo will be abl
623495570,TRUE,golden,14,,1,1,Tue Dec 02 00:53:58 +0000 2014,5.40E+17,#AAPL OR @Apple,1,hey apple fuck you
623495571,TRUE,golden,13,,3,0.6788,Tue Dec 02 00:54:31 +0000 2014,5.40E+17,#AAPL OR @Apple,,5 companies growing faster than apple inc aapl
623495572,FALSE,finalized,3,12/12/2014 8:52,1,1,Tue Dec 02 00:56:11 +0000 2014,5.40E+17,#AAPL OR @Apple,,apple why doesn t your people explain precautions when buying an expensive laptop
623495573,FALSE,finalized,3,12/11/2014 20:59,3,1,Tue Dec 02 00:56:43 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt thehill justice department cites 18th century federal law to get apple to unlock iphones
623495574,FALSE,finalized,3,12/12/2014 11:16,3,0.6731,Tue Dec 02 00:59:49 +0000 2014,5.40E+17,#AAPL OR @Apple,,quailman apple u was bored huh
623495575,FALSE,finalized,3,12/11/2014 20:54,3,1,Tue Dec 02 01:04:41 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt wagner tim robconeybeer you need an ip portfolio to defend against big companies just look at samsung apple court battles
623495576,TRUE,golden,18,,1,1,Tue Dec 02 01:05:37 +0000 2014,5.40E+17,#AAPL OR @Apple,1,as a die hard apple customer i must say i am truly displeased with the customer service i was given today badservice apple
623495577,FALSE,finalized,3,12/12/2014 20:54,1,1,Tue Dec 02 01:06:42 +0000 2014,5.40E+17,#AAPL OR @Apple,,apple made it clear today that i as a customer are not worth a measly 79 an employee gave mis info and they will not stand behind it
623495578,FALSE,finalized,3,12/11/2014 22:10,3,0.7011,Tue Dec 02 01:06:58 +0000 2014,5.40E+17,#AAPL OR @Apple,,inspi red by apple and tim cook on worldaidsday 100 of appsforred in appstore go to fight aids get farmville2 and csrracing red
623495579,FALSE,finalized,4,12/12/2014 2:39,3,0.7321,Tue Dec 02 01:07:53 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt thehill justice department cites 18th century federal law to get apple to unlock iphones
623495580,FALSE,finalized,3,12/12/2014 9:14,3,1,Tue Dec 02 01:09:53 +0000 2014,5.40E+17,#AAPL OR @Apple,,16gb apple ipad air 2 retina wifi tablet 400 free shipping via ebay cybermonday firstworldproblems
623495581,TRUE,golden,16,,5,0.8214,Tue Dec 02 01:11:43 +0000 2014,5.40E+17,#AAPL OR @Apple,5,photo love ios 8 apple iphone love ios8 nocrop iphone young phone screen capturescream boy
623495582,FALSE,finalized,3,12/12/2014 9:16,1,1,Tue Dec 02 01:13:03 +0000 2014,5.40E+17,#AAPL OR @Apple,,why does apple force people to use its vpn built in to ios8 off button doesn t work ffs like i want apple s nsa data collection service
623495583,FALSE,finalized,3,12/12/2014 13:02,1,0.6398,Tue Dec 02 01:15:12 +0000 2014,5.40E+17,#AAPL OR @Apple,,then how the hell did i take this screenshot apple timcook
623495584,FALSE,finalized,3,12/12/2014 3:17,3,1,Tue Dec 02 01:17:55 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt thehill department cites 18th century federal law to get apple to unlock iphones
623495585,FALSE,finalized,3,12/12/2014 1:13,3,0.6759,Tue Dec 02 01:22:40 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt thehill justice department cites 18th century federal law to get apple to unlock iphones
623495586,FALSE,finalized,6,12/12/2014 9:26,1,0.5327,Tue Dec 02 01:25:49 +0000 2014,5.40E+17,#AAPL OR @Apple,,buy round lot on the open mt wsjd aapl stock briefly dove 6 4 today analysts not sure why
623495587,FALSE,finalized,3,12/11/2014 18:38,1,1,Tue Dec 02 01:36:18 +0000 2014,5.40E+17,#AAPL OR @Apple,,3g is draining my battery fix this apple
623495588,FALSE,finalized,3,12/11/2014 18:42,not_relevant,0.6527,Tue Dec 02 01:36:35 +0000 2014,5.40E+17,#AAPL OR @Apple,,my daughter s apple ipod stolen to the thief try working as hard to earn one like my daughter had to buy hers losingfaithinpeople
623495589,FALSE,finalized,3,12/12/2014 7:04,1,1,Tue Dec 02 01:40:38 +0000 2014,5.40E+17,#AAPL OR @Apple,,apple your chargers suck ass they just love to break
623495590,FALSE,finalized,3,12/12/2014 2:23,3,0.6783,Tue Dec 02 01:44:36 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt thehill justice department cites 18th century federal law to get apple to unlock iphones
623495591,FALSE,finalized,3,12/12/2014 19:56,3,1,Tue Dec 02 01:45:03 +0000 2014,5.40E+17,#AAPL OR @Apple,,aapl my three horsemen of the nasdaq 100 apple microsoft and gilead scie
623495592,FALSE,finalized,3,12/12/2014 0:00,3,0.6604,Tue Dec 02 01:47:52 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt thehill justice department cites 18th century federal law to get apple to unlock iphones
623495593,FALSE,finalized,4,12/12/2014 14:46,1,0.7556,Tue Dec 02 01:49:00 +0000 2014,5.40E+17,#AAPL OR @Apple,,i m hoping apple won t automatically make us download bruce springsteen and u2 singing together u2 bruce espn thatwasbad
623495594,FALSE,finalized,6,12/11/2014 23:38,1,0.4791,Tue Dec 02 01:52:00 +0000 2014,5.40E+17,#AAPL OR @Apple,,thehill apple what a joke justice dept should prosecute killer wilson in pursuit of justice ferguson is not over
623495595,FALSE,finalized,3,12/12/2014 8:53,3,1,Tue Dec 02 01:52:18 +0000 2014,5.40E+17,#AAPL OR @Apple,,aydlettgwyn13 apple please educate us
623495596,FALSE,finalized,4,12/12/2014 2:30,1,0.7591,Tue Dec 02 01:53:41 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt tinfoiltricorn thehill apple wish we could prosecute the admin for violation of privacy and criminal search and seizure
623495597,FALSE,finalized,3,12/12/2014 11:28,3,0.6676,Tue Dec 02 01:58:06 +0000 2014,5.40E+17,#AAPL OR @Apple,,the game traders play in the name of market liquidity hft darkpools stock trading algorithms aapl
623495598,FALSE,finalized,3,12/12/2014 6:51,3,1,Tue Dec 02 02:00:04 +0000 2014,5.40E+17,#AAPL OR @Apple,,aapl 10 steve jobs emails you need to read
623495599,FALSE,finalized,3,12/12/2014 20:34,1,1,Tue Dec 02 02:00:59 +0000 2014,5.40E+17,#AAPL OR @Apple,,so so sooooo annoyed did the restore from my back up and lost my voice mails i needed to keep those thanks a lot apple
623495600,FALSE,finalized,3,12/12/2014 16:23,1,0.7039,Tue Dec 02 02:03:46 +0000 2014,5.40E+17,#AAPL OR @Apple,,thisn yosemite update is stressing me out apple macbookpro
623495601,FALSE,finalized,3,12/12/2014 12:15,1,1,Tue Dec 02 02:04:40 +0000 2014,5.40E+17,#AAPL OR @Apple,,just broke my 3rd charger of the month get your shit together apple
623495602,FALSE,finalized,3,12/12/2014 6:47,1,1,Tue Dec 02 02:09:56 +0000 2014,5.40E+17,#AAPL OR @Apple,,this iphone 6 battery isn t as good as you claim apple
623495603,FALSE,finalized,3,12/12/2014 2:50,1,1,Tue Dec 02 02:10:38 +0000 2014,5.40E+17,#AAPL OR @Apple,,nasdaq big fall fb baba twtr linkd apple fell 3 6 on monday see whether follow up
623495604,FALSE,finalized,3,12/12/2014 12:14,3,1,Tue Dec 02 02:14:37 +0000 2014,5.40E+17,#AAPL OR @Apple,,iphone users face big change over apple apple s google search choice monday 1 december
623495605,FALSE,finalized,3,12/11/2014 22:06,3,0.6908,Tue Dec 02 02:14:56 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt chanchan1717 aydlettgwyn13 apple please educate us
623495606,FALSE,finalized,3,12/12/2014 21:08,5,0.6517,Tue Dec 02 02:16:00 +0000 2014,5.40E+17,#AAPL OR @Apple,,just updated my ram to 16gb apple you guys are like shallow gf s take all the money but dammit you look good
623495607,FALSE,finalized,3,12/12/2014 20:37,1,1,Tue Dec 02 02:16:19 +0000 2014,5.40E+17,#AAPL OR @Apple,,apple iphone4 oh it s not fair and i think you re really mean
623495608,FALSE,finalized,3,12/12/2014 1:35,3,0.6794,Tue Dec 02 02:25:30 +0000 2014,5.40E+17,#AAPL OR @Apple,,whoknew why isn t apple on twitter interestingfact passingthetime
623495609,FALSE,finalized,3,12/11/2014 20:55,3,1,Tue Dec 02 02:27:54 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt jodispicer whoknew why isn t apple on twitter interestingfact passingthetime
623495610,TRUE,golden,13,,5,0.7851,Tue Dec 02 02:38:28 +0000 2014,5.40E+17,#AAPL OR @Apple,5,ibm apple ios users account for 21 6 of all online sales 3x android users 6 6 they are dominating business sales cybermonday
623495611,FALSE,finalized,3,12/12/2014 11:19,1,1,Tue Dec 02 02:56:02 +0000 2014,5.40E+17,#AAPL OR @Apple,,i hate how ios 8 capitalizes random words like i dont wan na give emphasis to some stupid word in tha sentence get ur self together apple
623495612,TRUE,golden,11,,3,0.6218,Tue Dec 02 02:56:56 +0000 2014,5.40E+17,#AAPL OR @Apple,3,gr8american23 i ve made clear i support rand paul in 2016 in most cases why is everyone pigeonholed as red or blue also u like apple
623495613,FALSE,finalized,3,12/12/2014 21:55,1,0.6884,Tue Dec 02 02:56:57 +0000 2014,5.40E+17,#AAPL OR @Apple,,apple why was the iphone 4 ever created
623495614,FALSE,finalized,3,12/12/2014 8:43,1,1,Tue Dec 02 03:00:07 +0000 2014,5.40E+17,#AAPL OR @Apple,,apple i fucking hate you
623495615,FALSE,finalized,3,12/12/2014 14:24,5,0.6573,Tue Dec 02 03:00:29 +0000 2014,5.40E+17,#AAPL OR @Apple,,apple please can i have new phone for christmas spreadsomejoy
623495616,FALSE,finalized,4,12/12/2014 2:24,3,0.7279,Tue Dec 02 03:01:44 +0000 2014,5.40E+17,#AAPL OR @Apple,,perfome apple pie
623495617,FALSE,finalized,3,12/11/2014 23:31,3,0.6734,Tue Dec 02 03:05:07 +0000 2014,5.40E+17,#AAPL OR @Apple,,nasdaq100 recent market exit 4 sold aapl long for a 10 49 gain in 20 days aapl forex trading stocks
623495618,FALSE,finalized,3,12/11/2014 14:28,3,0.6442,Tue Dec 02 03:05:32 +0000 2014,5.40E+17,#AAPL OR @Apple,,apple rumoured to be launching a mega tab because biggerisbetter
623495619,FALSE,finalized,6,12/11/2014 21:01,not_relevant,0.6697,Tue Dec 02 03:05:55 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt chayton falke chaytonfalke nasdaq100 recent market exit 4 sold aapl long for a 10 49 gain in 20 days aapl forex trading
623495620,FALSE,finalized,3,12/12/2014 11:15,3,0.6635,Tue Dec 02 03:09:32 +0000 2014,5.40E+17,#AAPL OR @Apple,,apple inc pt upped by barclays morgan stanley trims stake aapl
623495621,FALSE,finalized,3,12/12/2014 22:00,1,1,Tue Dec 02 03:09:39 +0000 2014,5.40E+17,#AAPL OR @Apple,,it s not like the app costs money just let me download it apple
623495622,TRUE,golden,11,,3,0.7287,Tue Dec 02 03:13:14 +0000 2014,5.40E+17,#AAPL OR @Apple,"3
not_relevant",rt hamzeianalytics new ha blog post gt gt gt final aapl putcallratios for monday december 1 2014
623495623,FALSE,finalized,3,12/12/2014 8:54,3,0.7079,Tue Dec 02 03:15:03 +0000 2014,5.40E+17,#AAPL OR @Apple,,aapl jim cramer s 4 best stock picks for the health care sector
623495624,FALSE,finalized,3,12/12/2014 13:13,1,1,Tue Dec 02 03:28:00 +0000 2014,5.40E+17,#AAPL OR @Apple,,my phones been charging for an hour but it keeps losing percentage get ur shit together apple
623495625,FALSE,finalized,3,12/11/2014 14:56,3,1,Tue Dec 02 03:30:02 +0000 2014,5.40E+17,#AAPL OR @Apple,,steve jobs clave en juicio contra apple
623495626,FALSE,finalized,4,12/11/2014 14:38,3,1,Tue Dec 02 03:31:46 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt elnuevoherald steve jobs clave en juicio contra apple
623495627,FALSE,finalized,3,12/11/2014 20:08,3,1,Tue Dec 02 03:42:08 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt elnuevoherald steve jobs clave en juicio contra apple
623495628,FALSE,finalized,6,12/12/2014 5:25,not_relevant,0.5409,Tue Dec 02 03:44:43 +0000 2014,5.40E+17,#AAPL OR @Apple,,myths vs reality in full time trading stocks futures forex trader es nq cl aapl gpro finance esignal
623495629,FALSE,finalized,3,12/12/2014 13:17,3,0.6624,Tue Dec 02 03:49:22 +0000 2014,5.40E+17,#AAPL OR @Apple,,my laptop was completely dead and blacked out for 2 days amp i finally opened the inside and fixed it hire me apple
623495630,FALSE,finalized,3,12/12/2014 6:55,1,1,Tue Dec 02 03:49:34 +0000 2014,5.40E+17,#AAPL OR @Apple,,baseballbridget apple we couldn t even get a turkey for tday so they just don t care appleemojissuck
623495631,FALSE,finalized,3,12/12/2014 21:41,3,1,Tue Dec 02 03:52:46 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt elnuevoherald steve jobs clave en juicio contra apple
623495632,FALSE,finalized,3,12/12/2014 1:58,1,1,Tue Dec 02 03:52:58 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt toricolelli my phones been charging for an hour but it keeps losing percentage get ur shit together apple
623495633,FALSE,finalized,3,12/12/2014 0:52,3,0.7053,Tue Dec 02 03:57:07 +0000 2014,5.40E+17,#AAPL OR @Apple,,apple nasdaq aapl participates in world aids day campaign apple aapl campaign
623495634,FALSE,finalized,3,12/12/2014 16:19,5,1,Tue Dec 02 03:58:50 +0000 2014,5.40E+17,#AAPL OR @Apple,,well played apple
623495635,FALSE,finalized,3,12/12/2014 11:28,5,1,Tue Dec 02 04:00:59 +0000 2014,5.40E+17,#AAPL OR @Apple,,thank you apple
623495636,FALSE,finalized,3,12/11/2014 14:50,1,0.6894,Tue Dec 02 04:07:57 +0000 2014,5.40E+17,#AAPL OR @Apple,,fix it apple
623495637,FALSE,finalized,3,12/12/2014 21:42,5,1,Tue Dec 02 04:08:21 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt iamgambino thank you apple
623495638,FALSE,finalized,3,12/11/2014 20:17,1,1,Tue Dec 02 04:09:46 +0000 2014,5.40E+17,#AAPL OR @Apple,,how long does it really take for a phone to ship apple smh
623495639,FALSE,finalized,3,12/12/2014 8:53,3,1,Tue Dec 02 04:11:56 +0000 2014,5.40E+17,#AAPL OR @Apple,,apple ipod lawsuit will reveal unseen steve jobs video
623495640,FALSE,finalized,3,12/12/2014 9:10,3,1,Tue Dec 02 04:12:53 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt smartoutsource1 apple ipod lawsuit will reveal unseen steve jobs video
623495641,FALSE,finalized,3,12/12/2014 2:33,3,1,Tue Dec 02 04:21:29 +0000 2014,5.40E+17,#AAPL OR @Apple,,lol dying apple
623495642,FALSE,finalized,6,12/12/2014 13:02,not_relevant,0.5288,Tue Dec 02 04:22:22 +0000 2014,5.40E+17,#AAPL OR @Apple,,gopro what competition part 2 gpro aapl sne
623495643,FALSE,finalized,4,12/11/2014 14:12,1,1,Tue Dec 02 04:24:00 +0000 2014,5.40E+17,#AAPL OR @Apple,,so on my iphone5 the apple health kit is no longer gathering data sigh
623495644,FALSE,finalized,3,12/12/2014 14:44,3,0.6806,Tue Dec 02 04:30:03 +0000 2014,5.40E+17,#AAPL OR @Apple,,trade aapl free nightly updates are posted here on twitter or you can visit the trade aapl free website here
623495645,FALSE,finalized,3,12/12/2014 15:50,1,0.6864,Tue Dec 02 04:30:31 +0000 2014,5.40E+17,#AAPL OR @Apple,,thanks apple for changing yet another fuck into duck thanks
623495646,FALSE,finalized,6,12/12/2014 8:35,1,0.5339,Tue Dec 02 04:33:28 +0000 2014,5.40E+17,#AAPL OR @Apple,,apple yh news apple tumbles as much as 6 percent in unusual trading by chuck mikolajczak new york reuters
623495647,FALSE,finalized,3,12/11/2014 23:32,1,1,Tue Dec 02 04:34:05 +0000 2014,5.40E+17,#AAPL OR @Apple,,brwnskin beauti cause fuck apple
623495648,FALSE,finalized,3,12/12/2014 0:00,3,1,Tue Dec 02 04:35:14 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt donacamp brass band at apple store broadway winterseve nyc
623495649,FALSE,finalized,3,12/12/2014 10:31,1,1,Tue Dec 02 04:36:38 +0000 2014,5.40E+17,#AAPL OR @Apple,,if i buy a 16 gb phone i should have 16 gb s to use apple
623495650,FALSE,finalized,3,12/12/2014 2:13,1,1,Tue Dec 02 04:37:44 +0000 2014,5.40E+17,#AAPL OR @Apple,,fuck you for breaking my music apple
